File,Window_Sec,Window_Index,Binarization,LZC_Normalized,LZC_Custom,Variance,SNR,Binary_Balance
P001-1-trimmed.mat,45,2,adaptive,0.011337483529127659,0.00018286263756657516,0.13816124,-0.41345507,0.7673333333333333
P001-1-trimmed.mat,45,3,median,0.02633221980958682,0.00018286263756657516,0.07738514,-4.881348,0.49972222222222223
P001-1-trimmed.mat,45,3,mean,0.01773767584395779,0.00018286263756657516,0.07738514,-4.881348,0.4639888888888889
P001-1-trimmed.mat,45,3,adaptive,0.01316610990479341,0.00018286263756657516,0.07738514,-4.881348,0.44464444444444445
P001-1-trimmed.mat,45,4,median,0.16731931337341627,0.00018286263756657516,0.114078365,-0.45408598,0.4975888888888889
P001-1-trimmed.mat,45,4,mean,0.015360461555592312,0.00018286263756657516,0.114078365,-0.45408598,0.7658444444444444
P001-1-trimmed.mat,45,4,adaptive,0.014446148367759436,0.00018286263756657516,0.114078365,-0.45408598,0.7386111111111111
P001-1-trimmed.mat,60,0,median,0.008858154312142067,0.00014060562400225503,0.10376491,-3.868229,0.4999
P001-1-trimmed.mat,60,0,mean,0.008436337440135302,0.00014060562400225503,0.10376491,-3.868229,0.5021583333333334
P001-1-trimmed.mat,60,0,adaptive,0.009420576808151088,0.00014060562400225503,0.10376491,-3.868229,0.49075833333333335
P001-1-trimmed.mat,60,1,median,0.02573082919241267,0.00014060562400225503,0.3361026,-0.6473398,0.499975
P001-1-trimmed.mat,60,1,mean,0.007030281200112751,0.00014060562400225503,0.3361026,-0.6473398,0.644625
P001-1-trimmed.mat,60,1,adaptive,0.005061802464081181,0.00014060562400225503,0.3361026,-0.6473398,0.6278166666666667
P001-1-trimmed.mat,60,2,median,0.02319992796037208,0.00014060562400225503,0.291843,-1.7819498,0.49954166666666666
P001-1-trimmed.mat,60,2,mean,0.015044801768241288,0.00014060562400225503,0.291843,-1.7819498,0.29380833333333334
P001-1-trimmed.mat,60,2,adaptive,0.016029041136257072,0.00014060562400225503,0.291843,-1.7819498,0.252975
P001-1-trimmed.mat,60,3,median,0.013357534280214228,0.00014060562400225503,0.0852085,-4.3786855,0.499975
P001-1-trimmed.mat,60,3,mean,0.01673206925626835,0.00014060562400225503,0.0852085,-4.3786855,0.5243333333333333
P001-1-trimmed.mat,60,3,adaptive,0.010967238672175892,0.00014060562400225503,0.0852085,-4.3786855,0.49649166666666666
P001-1-trimmed.mat,60,4,median,0.008576943064137556,0.00014060562400225503,0.38336146,-0.75334716,0.5
P001-1-trimmed.mat,60,4,mean,0.008858154312142067,0.00014060562400225503,0.38336146,-0.75334716,0.6066333333333334
P001-1-trimmed.mat,60,4,adaptive,0.005061802464081181,0.00014060562400225503,0.38336146,-0.75334716,0.5717666666666666
P001-1-trimmed.mat,90,0,median,0.008146897444462823,9.698687433884313e-05,0.41260868,-0.86292064,0.5
P001-1-trimmed.mat,90,0,mean,0.008534844941818194,9.698687433884313e-05,0.41260868,-0.86292064,0.5906055555555556
P001-1-trimmed.mat,90,0,adaptive,0.008534844941818194,9.698687433884313e-05,0.41260868,-0.86292064,0.5531333333333334
P001-1-trimmed.mat,90,1,median,0.1193908423111159,9.698687433884313e-05,0.25182438,-0.5151487,0.4993166666666667
P001-1-trimmed.mat,90,1,mean,0.005625238711652901,9.698687433884313e-05,0.25182438,-0.5151487,0.71195
P001-1-trimmed.mat,90,1,adaptive,0.00465536996826447,9.698687433884313e-05,0.25182438,-0.5151487,0.7014444444444444
P001-1-trimmed.mat,90,2,median,0.0161968080145868,9.698687433884313e-05,0.06930928,-4.846426,0.49996111111111113
P001-1-trimmed.mat,90,2,mean,0.017554624255330605,9.698687433884313e-05,0.06930928,-4.846426,0.5350722222222222
P001-1-trimmed.mat,90,2,adaptive,0.016972703009297548,9.698687433884313e-05,0.06930928,-4.846426,0.5086888888888889
P001-1-trimmed.mat,90,3,median,0.21065549106396728,9.698687433884313e-05,0.13870868,-0.44396228,0.49491111111111113
P001-1-trimmed.mat,90,3,mean,0.009504713685206627,9.698687433884313e-05,0.13870868,-0.44396228,0.76495
P001-1-trimmed.mat,90,3,adaptive,0.012026372418016547,9.698687433884313e-05,0.13870868,-0.44396228,0.7412888888888889
P001-1-trimmed.mat,90,4,median,0.019785322365123998,9.698687433884313e-05,0.08497216,-4.570786,0.49972777777777777
P001-1-trimmed.mat,90,4,mean,0.011347464297644647,9.698687433884313e-05,0.08497216,-4.570786,0.47099444444444444
